iter	Passed	Remaining
0	128	12723
1	130	6408
2	132	4292
3	134	3231
4	136	2592
5	138	2166
6	140	1861
7	141	1631
8	143	1451
9	145	1307
10	146	1189
11	148	1089
12	150	1006
13	152	934
14	153	872
15	155	818
16	157	769
17	159	726
18	161	687
19	162	651
20	164	618
21	166	590
22	168	563
23	170	538
24	171	515
25	173	494
26	175	474
27	177	456
28	179	439
29	181	422
30	182	407
31	184	392
32	186	378
33	187	364
34	189	352
35	191	340
36	193	329
37	195	318
38	197	308
39	199	298
40	200	289
41	202	280
42	204	271
43	206	263
44	208	254
45	210	246
46	211	238
47	213	231
48	215	224
49	217	217
50	219	210
51	221	204
52	222	197
53	224	191
54	225	184
55	227	179
56	230	173
57	231	167
58	233	162
59	235	157
60	237	151
61	239	147
62	242	142
63	244	137
64	249	134
65	253	130
66	256	126
67	261	122
68	270	121
69	275	118
70	277	113
71	280	109
72	283	104
73	284	100
74	287	95
75	289	91
76	291	87
77	293	82
78	295	78
79	297	74
80	299	70
81	301	66
82	303	62
83	307	58
84	309	54
85	310	50
86	312	46
87	314	42
88	315	39
89	317	35
90	319	31
91	320	27
92	322	24
93	323	20
94	325	17
95	327	13
96	328	10
97	330	6
98	332	3
99	333	0
